time,open,high,low,close,tick_volume
2023-09-08 19:00:00,1.07084,1.0713,1.07001,1.0704,3449
2023-09-08 20:00:00,1.07039,1.07103,1.07024,1.07053,2464
2023-09-08 21:00:00,1.07054,1.07083,1.06967,1.06975,2709
2023-09-08 22:00:00,1.06975,1.07001,1.06968,1.06989,1946
2023-09-08 23:00:00,1.06989,1.07027,1.06978,1.06979,1606
2023-09-11 00:00:00,1.07126,1.07153,1.07101,1.07141,666
2023-09-11 01:00:00,1.0714,1.0714,1.07069,1.07112,3075
2023-09-11 02:00:00,1.07112,1.07201,1.0708,1.07159,1734
2023-09-11 03:00:00,1.07159,1.07207,1.07096,1.07129,2792
2023-09-11 04:00:00,1.07128,1.07204,1.07097,1.0719,3508
2023-09-11 05:00:00,1.07191,1.07276,1.07184,1.07235,2208
2023-09-11 06:00:00,1.07235,1.07247,1.0719,1.07221,1961
2023-09-11 07:00:00,1.07222,1.07373,1.07212,1.0735,3094
2023-09-11 08:00:00,1.0735,1.07409,1.07281,1.07284,3843
2023-09-11 09:00:00,1.07284,1.07351,1.0723799999999999,1.07328,4847
2023-09-11 10:00:00,1.07328,1.07371,1.07246,1.0725500000000001,6142
2023-09-11 11:00:00,1.0725500000000001,1.07328,1.07219,1.07281,5166
2023-09-11 12:00:00,1.07281,1.0734,1.07231,1.07322,4175
2023-09-11 13:00:00,1.07322,1.07335,1.0726,1.07317,3807
2023-09-11 14:00:00,1.07317,1.07319,1.07179,1.07193,3838
2023-09-11 15:00:00,1.07193,1.07274,1.07152,1.07271,6352
2023-09-11 16:00:00,1.07271,1.07367,1.07219,1.07353,8044
2023-09-11 17:00:00,1.07354,1.07589,1.07344,1.07452,9363
2023-09-11 18:00:00,1.07451,1.07494,1.07407,1.07422,4699
2023-09-11 19:00:00,1.07422,1.07575,1.07422,1.07506,3421
2023-09-11 20:00:00,1.07506,1.07519,1.0743800000000001,1.07454,2561
2023-09-11 21:00:00,1.07454,1.0751,1.07439,1.07448,2032
2023-09-11 22:00:00,1.07448,1.075,1.0744,1.07484,2122
2023-09-11 23:00:00,1.07485,1.07503,1.07475,1.0748199999999999,1165
2023-09-12 00:00:00,1.07464,1.0752,1.07453,1.07488,1338
2023-09-12 01:00:00,1.07489,1.07514,1.07489,1.07495,652
2023-09-12 02:00:00,1.07496,1.07504,1.07471,1.07471,562
2023-09-12 03:00:00,1.07471,1.07474,1.07419,1.07435,1815
2023-09-12 04:00:00,1.07436,1.07685,1.07372,1.07407,4585
2023-09-12 05:00:00,1.07406,1.07508,1.07386,1.07506,2661
2023-09-12 06:00:00,1.07506,1.07508,1.07441,1.0746,1730
2023-09-12 07:00:00,1.07459,1.07461,1.07382,1.07386,1476
2023-09-12 08:00:00,1.07387,1.07404,1.07352,1.07359,2250
2023-09-12 09:00:00,1.07359,1.07404,1.073,1.07322,4133
2023-09-12 10:00:00,1.07323,1.07344,1.07118,1.07131,6040
2023-09-12 11:00:00,1.07131,1.07231,1.07118,1.0714,5217
2023-09-12 12:00:00,1.0714,1.07257,1.07129,1.0722,4328
2023-09-12 13:00:00,1.0722,1.07241,1.07116,1.07157,3408
2023-09-12 14:00:00,1.07157,1.07182,1.07081,1.07176,4229
2023-09-12 15:00:00,1.07176,1.07206,1.07053,1.07069,6703
2023-09-12 16:00:00,1.07069,1.07185,1.07051,1.07171,7464
2023-09-12 17:00:00,1.07171,1.07176,1.071,1.07134,5906
2023-09-12 18:00:00,1.07134,1.07297,1.0713300000000001,1.07251,4079
2023-09-12 19:00:00,1.07252,1.07371,1.07212,1.07228,3174
2023-09-12 20:00:00,1.07228,1.07338,1.07228,1.07256,2901
2023-09-12 21:00:00,1.07257,1.07339,1.07242,1.07318,2823
2023-09-12 22:00:00,1.07319,1.07335,1.07272,1.07277,2170
2023-09-12 23:00:00,1.07277,1.07644,1.07272,1.07563,3018
2023-09-13 00:00:00,1.07537,1.07592,1.07521,1.0758,920
2023-09-13 01:00:00,1.0758,1.07598,1.07542,1.07557,1243
2023-09-13 02:00:00,1.07557,1.07575,1.07522,1.07528,860
2023-09-13 03:00:00,1.07527,1.07638,1.07527,1.07589,2281
2023-09-13 04:00:00,1.07589,1.07644,1.07553,1.07572,2728
2023-09-13 05:00:00,1.07572,1.07594,1.07447,1.07462,2361
2023-09-13 06:00:00,1.07462,1.07497,1.07442,1.07467,1727
2023-09-13 07:00:00,1.07468,1.07532,1.07458,1.07519,1491
2023-09-13 08:00:00,1.0752,1.07542,1.07416,1.0744,2318
2023-09-13 09:00:00,1.07441,1.07467,1.07345,1.07379,5745
2023-09-13 10:00:00,1.07379,1.07484,1.07308,1.07435,6294
2023-09-13 11:00:00,1.07434,1.07444,1.07313,1.07347,5685
2023-09-13 12:00:00,1.07347,1.07394,1.07285,1.07295,4936
2023-09-13 13:00:00,1.07296,1.0737700000000001,1.07282,1.07373,3953
2023-09-13 14:00:00,1.07374,1.07405,1.0729899999999999,1.07362,3847
2023-09-13 15:00:00,1.07362,1.07611,1.07103,1.07474,24544
2023-09-13 16:00:00,1.07473,1.07555,1.07288,1.07382,17389
